Date,2024-12-04 18:44:22
Measurement Type,RT
sensorName,['NONE', 'A'],sensorCount,2,heaterCount,1,tInt,2,tPoints,100,aver,1,RESaver,1,RESNPLC,5,RESrange,auto,chanVar,1,resType,PY_VAR8,RTD,True,
Time,A,Resistance
618.0,368.9744355.4177
620.0,368.8363355.4296
622.0,368.3526355.4396
624.0,368.4217355.4534
626.0,368.4908355.4651
628.0,368.8017355.4869
630.0,369.4582355.5048
632.0,369.6657355.5095
634.0,369.8038355.5171
636.0,369.5618355.5273
638.0,369.3891355.5338
640.0,368.9744355.5305
642.0,369.0089355.5472
644.0,368.9055355.5516
646.0,368.5253355.5631
648.0,368.1798355.5725
650.0,368.2489355.58
652.0,368.7325355.6006
654.0,369.2163355.6166
656.0,369.3891355.6269
658.0,369.7001355.641
660.0,369.5274355.6496
662.0,369.3891355.655
664.0,369.2163355.6551
666.0,369.1127355.6614
668.0,369.078355.6764
670.0,368.7325355.679
672.0,368.387355.6938
674.0,368.4908355.7056
676.0,368.3526355.7186
678.0,368.8708355.7346
680.0,369.4238355.7503
682.0,369.5618355.7595
684.0,369.7693355.7651
686.0,369.8384355.7774
688.0,369.631355.7788
690.0,369.3546355.7743
692.0,369.1472355.7843
694.0,369.0089355.7934
696.0,368.8708355.7975
698.0,368.3526355.8157
700.0,368.4217355.8266
702.0,368.6289355.8369
704.0,369.1819355.8522
706.0,369.5274355.8702
708.0,369.5618355.8819
710.0,369.4929355.8857
712.0,369.5618355.8948
714.0,369.4582355.9038
716.0,369.1819355.9094
718.0,369.1819355.914
720.0,368.6634355.9247
722.0,368.5253355.9334
724.0,368.387355.9429
726.0,368.3181355.96
728.0,368.6634355.9677
730.0,369.1819355.9836
732.0,369.4238356.005
734.0,369.7001356.011
736.0,369.7346356.0132
738.0,369.631356.0225
740.0,369.1472356.0277
742.0,369.0089356.031
744.0,368.6981356.0433
746.0,368.6289356.0489
748.0,368.4217356.0638
750.0,368.3181356.0764
752.0,368.4562356.0925
754.0,368.9055356.0979
756.0,369.4929356.1145
758.0,369.5274356.1203
760.0,369.5965356.1312
762.0,369.631356.127
764.0,369.4582356.1253
766.0,369.32356.1336
768.0,369.0436356.1411
770.0,368.8363356.1415
772.0,368.8017356.1534
774.0,368.387356.1692
776.0,368.4562356.1718
778.0,368.94356.1883
780.0,369.1819356.2003
782.0,369.32356.2137
784.0,369.1819356.2144
786.0,369.0089356.2251
788.0,368.6981356.2389
790.0,368.8708356.2489
792.0,368.767356.2547
794.0,368.3181356.2648
796.0,368.2834356.2747
798.0,368.6981356.2827
800.0,369.3546356.299
802.0,369.3891356.3095
804.0,369.3546356.3164
806.0,369.4929356.3267
808.0,369.4238356.3325
810.0,369.0089356.3306
812.0,369.0436356.3461
814.0,368.6289356.3515
816.0,368.4908356.3573
818.0,368.2834356.3674
820.0,368.387356.3791
822.0,368.767356.3891
824.0,369.4238356.4018
826.0,369.5965356.4066
828.0,369.7001356.4186
830.0,369.8731356.4236
832.0,369.5274356.4231
834.0,369.5274356.4277
836.0,369.2508356.4286
838.0,369.1127356.4392
840.0,368.6981356.4429
842.0,368.5944356.4524
844.0,368.3181356.4592
846.0,368.5598356.472
848.0,369.078356.4894
850.0,369.1472356.5033
852.0,369.2508356.5141
854.0,369.3546356.5292
856.0,369.4238356.5272
858.0,369.078356.5421
860.0,368.9055356.5474
862.0,368.7325356.5542
864.0,368.5944356.5604
866.0,368.4217356.5707
868.0,368.4562356.5836
870.0,369.1127356.5951
872.0,369.3546356.6017
874.0,369.4238356.6123
876.0,369.4238356.6129
878.0,369.2508356.6247
880.0,369.0436356.6371
882.0,368.8708356.6377
884.0,368.7325356.6435
886.0,368.5253356.652
888.0,368.2834356.6662
890.0,368.5598356.6741
892.0,368.9055356.6873
894.0,369.3891356.7006
896.0,369.4238356.709
898.0,369.5965356.715
900.0,369.5618356.7195
902.0,369.5965356.7231
904.0,369.2855356.7275
906.0,369.1472356.7248
908.0,368.8017356.7359
910.0,368.4562356.7459
912.0,368.4217356.7547
914.0,368.9744356.7618
916.0,369.0089356.7793
918.0,369.3546356.7799
920.0,369.6657356.796
922.0,369.7346356.8038
924.0,369.7001356.8007
926.0,369.5618356.8023
928.0,369.3891356.8031
930.0,369.2508356.8069
932.0,368.9055356.8224
934.0,368.6981356.818
936.0,368.5598356.8287
938.0,368.4562356.8435
940.0,368.387356.858
942.0,368.8708356.8648
944.0,369.1472356.8746
946.0,369.4238356.8932
948.0,369.4929356.8983
950.0,369.4582356.9023
952.0,369.2163356.9089
954.0,369.1819356.9074
956.0,368.8708356.9133
958.0,368.6634356.9223
960.0,368.5598356.9296
962.0,368.2834356.9373
964.0,368.4217356.9489
966.0,368.9744356.9652
968.0,369.4238356.9785
970.0,369.631356.9912
972.0,369.6657356.9962
974.0,369.5618356.9991
976.0,369.3546357.0026
978.0,369.0436357.0072
980.0,369.0089357.0119
982.0,368.8017357.0103
984.0,368.4562357.0252
986.0,368.4217357.0305
988.0,368.4908357.0419
990.0,368.767357.0506
992.0,369.0436357.0665
994.0,369.4238357.0769
996.0,369.7346357.0759
998.0,369.631357.0824
1000.0,369.5618357.0845
1002.0,369.3546357.0918
1004.0,369.0436357.098
1006.0,369.1472357.0999
1008.0,368.8708357.106
1010.0,368.4908357.1187
1012.0,368.2834357.126
1014.0,368.6289357.1429
